ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
12,0,0,-9,-15,349.9508,294.8997,357.9537
12,0,0,-9,-15,349.9441,294.9017,357.9486
12,0,0,-9,-15,349.9688,294.9002,357.9485
12,0,0,-9,-15,349.958,294.8943,357.9514
12,0,0,-9,-15,349.9696,294.9059,357.9586
12,0,0,-9,-15,349.9746,294.8993,357.9514
12,0,0,-9,-15,349.9731,294.8952,357.9597
12,0,0,-9,-15,349.973,294.8891,357.9635
12,0,0,-9,-15,349.9651,294.9069,357.9599
12,0,0,-9,-15,349.9779,294.9062,357.9579
12,0,0,-9,-15,349.9844,294.9113,357.9535
12,0,0,-9,-15,349.985,294.9058,357.9491
12,0,0,-9,-15,349.9841,294.9221,357.9437
12,0,0,-9,-15,349.9916,294.9105,357.9416
12,0,0,-9,-15,349.9884,294.911,357.9571
12,0,0,-9,-15,349.9943,294.8949,357.9678
12,0,0,-9,-15,349.986,294.9022,357.9609
12,0,0,-9,-15,349.9925,294.8937,357.9643
12,0,0,-9,-15,349.9872,294.8869,357.9556
12,0,0,-9,-15,349.9741,294.8888,357.9637
12,0,0,-9,-15,349.9815,294.8846,357.9729
12,0,0,-9,-15,349.9861,294.8884,357.9669
12,0,0,-9,-15,349.9868,294.8823,357.9656
12,0,0,-9,-15,349.9817,294.8824,357.9687
12,0,0,-9,-15,349.9799,294.883,357.9624
12,0,0,-9,-15,349.9745,294.8804,357.9755
12,0,0,-9,-15,349.9704,294.8921,357.9614
12,0,0,-9,-15,349.976,294.8834,357.9722
12,0,0,-9,-15,349.9757,294.8924,357.9648
12,0,0,-9,-15,349.9626,294.8893,357.9645
12,0,0,-9,-15,349.9666,294.895,357.9633
12,0,0,-9,-15,349.9786,294.9001,357.9654
12,0,0,-9,-15,349.9774,294.8853,357.9619
12,0,0,-9,-15,349.9679,294.8717,357.978
12,0,0,-9,-15,349.9674,294.8785,357.9666
12,0,0,-9,-15,349.9636,294.8683,357.9672
12,0,0,-9,-15,349.9785,294.8685,357.9711
12,0,0,-9,-15,349.9656,294.8698,357.9726
12,0,0,-9,-15,349.9579,294.8749,357.9794
12,0,0,-9,-15,349.9599,294.865,357.9816
12,0,0,-9,-15,349.9794,294.86,357.9799
12,0,0,-9,-15,349.9821,294.8732,357.9858
12,0,0,-9,-15,349.9674,294.8641,357.9731
12,0,0,-9,-15,349.9612,294.8663,357.9801
12,0,0,-9,-15,349.9581,294.8723,357.9749
12,0,0,-9,-15,349.9645,294.8736,357.9785
12,0,0,-9,-15,349.9781,294.8709,357.9718
12,0,0,-9,-15,349.9785,294.8791,357.9747
12,0,0,-9,-15,349.9713,294.8653,357.9912
12,0,0,-9,-15,349.9745,294.8746,357.9812
12,0,0,-9,-15,349.9754,294.8721,357.9741
12,0,0,-9,-15,349.9701,294.8788,357.977
12,0,0,-9,-15,349.9586,294.8849,357.9692
12,0,0,-9,-15,349.9732,294.8809,357.9656
12,0,0,-9,-15,349.974,294.8772,357.9724
12,0,0,-9,-15,349.9787,294.8883,357.9735
12,0,0,-9,-15,349.9768,294.8765,357.962
12,0,0,-9,-15,349.9814,294.8751,357.9803
12,0,0,-9,-15,349.9738,294.8799,357.9694
12,0,0,-9,-15,349.9795,294.8835,357.9649
12,0,0,-9,-15,349.9766,294.8931,357.959
12,0,0,-9,-15,349.9694,294.8843,357.9637
12,0,0,-9,-15,349.9695,294.8853,357.965
12,0,0,-9,-15,349.9695,294.8866,357.9743
12,0,0,-9,-15,349.9651,294.8813,357.969
12,0,0,-9,-15,349.9688,294.8865,357.9823
12,0,0,-9,-15,349.9626,294.8918,357.9776
12,0,0,-9,-15,349.9641,294.882,357.9859
12,0,0,-9,-15,349.9727,294.8786,357.9849
12,0,0,-9,-15,349.9687,294.8789,357.9782
12,0,0,-9,-15,349.9707,294.8759,357.9731
12,0,0,-9,-15,349.9707,294.8784,357.9713
12,0,0,-9,-15,349.9665,294.8897,357.9727
12,0,0,-9,-15,349.9727,294.8891,357.9653
12,0,0,-9,-15,349.978,294.8886,357.9737
12,0,0,-9,-15,349.9697,294.8922,357.9644
12,0,0,-9,-15,349.9709,294.8926,357.9591
12,0,0,-9,-15,349.9805,294.89,357.9585
12,0,0,-9,-15,349.9698,294.8919,357.9681
12,0,0,-9,-15,349.9712,294.8838,357.9708
12,0,0,-9,-15,349.9691,294.8928,357.965
12,0,0,-9,-15,349.9798,294.889,357.9637
12,0,0,-9,-15,349.9694,294.8896,357.9611
12,0,0,-9,-15,349.9757,294.8991,357.9595
12,0,0,-9,-15,349.966,294.8954,357.9574
12,0,0,-9,-15,349.9743,294.8914,357.9651
12,0,0,-9,-15,349.9773,294.9066,357.9547
12,0,0,-9,-15,349.9757,294.8973,357.9654
12,0,0,-9,-15,349.9735,294.9081,357.9641
