ParticipantID,BlockID,x,z
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,-0.0514164
1,5,0.03530407,-0.2809415
1,5,0.2062812,-0.6998372
1,5,0.4126306,-1.103959
1,5,0.6814466,-1.483597
1,5,0.9692006,-1.846084
1,5,1.280693,-2.096082
1,5,1.619029,-2.299419
1,5,1.961083,-2.496292
1,5,2.307004,-2.675817
1,5,2.661867,-2.834417
1,5,3.016164,-2.953588
1,5,3.233514,-3.013082
1,5,3.239346,-3.013082
1,5,3.239346,-3.013082
1,5,3.239346,-3.013082
1,5,3.239346,-3.013082
1,5,3.239346,-3.013082
1,5,3.239346,-3.333339
1,5,3.294936,-3.888893
1,5,3.473217,-4.444446
1,5,3.757902,-5
1,5,3.926986,-5.372674
1,5,3.926986,-5.372674
1,5,3.926986,-5.372674
1,5,3.926986,-5.372674
1,5,3.952762,-5.372674
1,5,4.508316,-5.53342
1,5,4.942438,-5.538391
1,5,5.001491,-5.538391
1,5,5.005563,-5.538391
1,5,5.005643,-5.538391
1,5,5.005643,-5.538391
1,5,5.005643,-5.538391
1,5,5.005643,-5.540294
1,5,5.038623,-5.680427
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.056406,-5.775421
1,5,5.270314,-5.775421
1,5,5.7502,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,5.775486,-5.799274
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,0
1,5,0,-0.01800776
1,5,8.296967E-05,-0.06396866
1,5,0.002475739,-0.4206223
1,5,0.04392672,-0.9761758
1,5,0.06085491,-1.531729
1,5,0.007444859,-2.087283
1,5,-0.2425723,-2.642836
1,5,-0.652432,-3.19839
1,5,-1.072287,-3.753943
1,5,-1.433525,-4.309496
1,5,-1.544738,-4.86505
1,5,-1.34615,-5.420603
1,5,-0.8022437,-5.976157
1,5,-0.2466903,-6.53171
1,5,0.3088632,-7.087264
1,5,0.8644166,-7.642817
1,5,1.41997,-8.198372
1,5,1.786968,-8.753925
1,5,1.587627,-9.309479
1,5,1.316028,-9.865032
1,5,1.405783,-10.42059
1,5,1.919504,-10.97614
1,5,2.475057,-11.53169
1,5,2.979045,-12.08725
1,5,3.324358,-12.6428
1,5,3.531091,-13.19835
1,5,3.602144,-13.75391
1,5,3.565762,-14.30946
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.550407,-14.31981
1,5,3.567394,-14.31981
1,5,3.646984,-14.31981
1,5,3.731145,-14.31981
1,5,3.815307,-14.31981
1,5,3.891542,-14.31981
1,5,3.896627,-14.4226
1,5,3.896627,-14.5145
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
1,5,3.896627,-14.52014
