ParticipantID,Session-number,BlockID,time-stamp,x,z
,,2,30.31336,0,0
,,2,30.42315,0,0
,,2,30.53546,0,0
,,2,30.64716,0,0
,,2,30.7589,0,0
,,2,30.87042,0,0
,,2,30.98185,0,0
,,2,31.0934,0,0
,,2,31.20591,0,0
,,2,31.31687,0,0
,,2,31.42869,0,0
,,2,31.54049,0,0
,,2,31.65236,0,0
,,2,31.76363,0,0
,,2,31.8755,0,0
,,2,31.98742,0,0
,,2,32.09893,0,0
,,2,32.21124,0,-0.09107447
,,2,32.32215,0.005311489,-0.3920503
,,2,32.43427,0.04473639,-1.003159
,,2,32.54552,0.08690786,-1.558712
,,2,32.65723,0.1290793,-2.114266
,,2,32.76925,0.1712508,-2.669819
,,2,32.88083,0.2113624,-3.225373
,,2,32.99264,0.213243,-3.780926
,,2,33.1046,0.1165619,-4.336294
,,2,33.21609,-0.1233759,-4.858387
,,2,33.32744,-0.4705648,-5.313184
,,2,33.4396,-0.8842993,-5.71976
,,2,33.55146,-1.322054,-6.087699
,,2,33.66295,-1.76393,-6.445785
,,2,33.77516,-2.172919,-6.843863
,,2,33.88628,-2.478771,-7.320187
,,2,33.99781,-2.718389,-7.83567
,,2,34.10963,-2.902031,-8.388168
,,2,34.22142,-3.018558,-8.943722
,,2,34.33299,-3.086498,-9.499275
,,2,34.4444,-3.109465,-10.05483
,,2,34.55636,-3.109465,-10.66594
,,2,34.66816,-3.109465,-11.22149
,,2,34.77965,-3.109465,-11.77704
,,2,34.89135,-3.109465,-12.3326
,,2,35.00356,-3.109465,-12.88815
,,2,35.11481,-3.109465,-13.4437
,,2,35.22668,-3.109465,-13.99926
,,2,35.33867,-3.109465,-14.55481
,,2,35.44992,-3.109465,-15.11036
,,2,35.56136,-3.109465,-15.66592
,,2,35.67355,-3.109465,-16.22147
,,2,35.78503,-3.109465,-16.77703
,,2,35.89669,-3.109465,-17.33258
,,2,36.00862,-3.109465,-17.88813
,,2,36.12021,-3.109465,-18.44369
,,2,36.23224,-3.109465,-18.99924
,,2,36.34341,-3.109465,-19.55479
,,2,36.46611,-3.009804,-19.62536
,,2,36.57803,-2.90422,-19.64484
,,2,36.69071,-2.812398,-19.66177
,,2,36.80164,-2.720579,-19.67871
,,2,36.9133,-2.661223,-19.67581
,,2,37.02492,-2.661215,-19.67576
,,2,37.1376,-2.661215,-19.67576
,,2,37.24829,-2.661215,-19.67576
,,2,37.36009,-2.661215,-19.67576
,,2,37.47197,-2.661215,-19.67576
,,2,37.58332,-2.661215,-19.67576
,,2,37.6951,-2.620392,-19.6998
,,2,37.807,-2.541309,-19.7104
,,2,37.91855,-2.460849,-19.723
,,2,38.03022,-2.382582,-19.73526
,,2,38.14192,-2.304308,-19.74753
,,2,38.25356,-2.226034,-19.75979
,,2,38.36569,-2.147762,-19.77206
,,2,38.47717,-2.083354,-19.78277
,,2,38.58868,-2.017497,-19.79086
,,2,38.70133,-1.945124,-19.80038
