ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
,,5,0,0.2409222,18,0,2.232472,77.26865,359.6538
,,5,0,0.3524275,18,0,2.230701,77.26565,359.6643
,,5,0,0.4752739,18,0,2.221792,77.26614,359.6648
,,5,0,0.5871602,18,0,2.240177,77.26813,359.6682
,,5,0,0.6987285,18,0,2.235196,77.2651,359.668
,,5,0,0.8104028,18,0,2.244679,77.26488,359.6648
,,5,0,0.9320135,18,0,2.240986,77.26238,359.6685
,,5,0,1.034277,18,0,2.224943,77.2678,359.6698
,,5,0,1.145623,18,0,2.224351,77.27182,359.6624
,,5,0,1.25913,17.98866,-0.002562183,2.227564,77.26923,359.6452
,,5,0,1.370033,17.56635,-0.09794892,2.221156,77.27917,359.6672
,,5,0,1.482666,16.96489,-0.2337821,2.215206,77.26668,359.655
,,5,0,1.593887,16.34997,-0.35981,2.199773,77.27958,359.6601
,,5,0,1.715704,15.71337,-0.4008474,2.226397,77.26881,359.666
,,5,0,1.827545,14.98156,-0.4350876,2.218068,77.28539,359.6536
,,5,0,1.939629,14.33478,-0.5094409,2.219109,77.26822,359.6638
,,5,0,2.058555,13.41778,-0.7098755,2.203646,77.28632,359.6521
,,5,0,2.175544,12.49754,-0.9175547,2.204786,77.28071,359.656
,,5,0,2.274498,11.86157,-1.061072,2.195618,77.29115,359.6488
,,5,0,2.385907,11.18171,-1.21449,2.206652,77.27694,359.6622
,,5,0,2.499829,10.54496,-1.3582,2.220222,77.27342,359.6634
,,5,0,2.60927,9.930805,-1.496841,2.212115,77.29062,359.6522
,,5,0,2.72104,9.309441,-1.637114,2.209177,77.26378,359.654
,,5,0,2.832936,8.707259,-1.773087,2.230944,77.27626,359.6552
,,5,0,2.95572,8.106487,-1.908746,2.208476,77.26925,359.6668
,,5,0,3.056168,7.408348,-2.066388,2.217416,77.27849,359.6745
,,5,0,3.16798,6.793808,-2.205104,2.212322,77.292,359.6622
,,5,0,3.326981,6.171081,-2.310001,2.220395,77.28407,359.6574
,,5,0,3.483442,5.543824,-2.400326,2.220263,77.26525,359.6617
,,5,0,3.633018,4.93309,-2.488193,2.227911,77.27782,359.6604
,,5,0,3.784781,4.314813,-2.577061,2.233163,77.27457,359.6617
,,5,0,3.954548,3.596336,-2.680362,2.220029,77.27341,359.6567
,,5,0,4.105552,2.984031,-2.768375,2.23267,77.2906,359.6451
,,5,0,4.255662,2.344739,-2.860178,2.215318,77.27113,359.6497
